com.montnets.emp.entity.datasource    数据源实体类
com.montnets.emp.entity.approveflow 审批流实体类
com.montnets.emp.entity.authen 鉴权中心（认证中心）实体类
com.montnets.emp.entity.birthwish 生日祝福实体类
com.montnets.emp.entity.biztype 业务类型实体类
com.montnets.emp.entity.blacklist 黑名单实体类
com.montnets.emp.entity.charging 计费管理实体类
com.montnets.emp.entity.client  客户通讯录实体类
com.montnets.emp.entity.clientsms 客户短信
com.montnets.emp.entity.common 公共实体类
com.montnets.emp.entity.corp 公司实体类
com.montnets.emp.entity.diffmms 不同彩信内容群发实体类
com.montnets.emp.entity.diffsms 不同短信内容群发实体类
com.montnets.emp.entity.email 邮件实体类
com.montnets.emp.entity.employee员工信息实体类
com.montnets.emp.entity.engine 智能引擎实体类
com.montnets.emp.entity.finance 移动财务实体类
com.montnets.emp.entity.gateway 网关后端配置实体类
com.montnets.emp.entity.group 个人群组实体类
com.montnets.emp.entity.IMS 点对点(ims)
com.montnets.emp.entity.inbox 收件箱实体类
com.montnets.emp.entity.keywords 关键字实体类
com.montnets.emp.entity.MMS 彩信实体类
com.montnets.emp.entity.mmsmate 彩信素材实体类
com.montnets.emp.entity.mmstask 彩信任务管理实体类
com.montnets.emp.entity.monitorsp 通道监控实体类
com.montnets.emp.entity.MonitorSys 系统运行监控实体类
com.montnets.emp.entity.netnews 网讯实体类
com.montnets.emp.entity.notice 公告管理实体类
com.montnets.emp.entity.pascharge 通道计费管理实体类
com.montnets.emp.entity.pasgroup 短彩通道组实体类
com.montnets.emp.entity.pasgroupbind 通道群组绑定实体类
com.montnets.emp.entity.pasroute 路由管理实体类
com.montnets.emp.entity.passage 通道管理实体类
com.montnets.emp.entity.perfect 完美通知实体类
com.montnets.emp.entity.query 短彩历史查询实体类
com.montnets.emp.entity.report 报表实体类
com.montnets.emp.entity.samemms 静态彩信发送实体类
com.montnets.emp.entity.samesms 静态短信发送实体类
com.montnets.emp.entity.securectrl 高级安全控制实体类
com.montnets.emp.entity.segnumber  号段管理实体类
com.montnets.emp.entity.selfparam 自定义参数/报表实体类
com.montnets.emp.entity.sms 短信实体类
com.montnets.emp.entity.smstask 短信任务实体类
com.montnets.emp.entity.system 系统实体类
com.montnets.emp.entity.sysuser 系统用户实体类
com.montnets.emp.entity.tailnumber 短号实体类
com.montnets.emp.entity.template 模板实体类
